filename	acq_time	duration	stage	side	source_file
emg/sub-29_ses-04_task-emg2pose_run-01_recording-left_emg.bdf	n/a	61.709	TwoHandedFreeStyle	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-1_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-02_recording-right_emg.bdf	n/a	61.709	TwoHandedFreeStyle	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-1_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-03_recording-right_emg.bdf	n/a	44.8495	unconstrained	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-2_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-04_recording-left_emg.bdf	n/a	44.8495	IndexPinchesMiddlePinchesThumbswipes	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-2_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-05_recording-right_emg.bdf	n/a	45.997	IndexPinchesMiddlePinchesThumbswipes	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-3_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-06_recording-left_emg.bdf	n/a	46.005	unconstrained	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-3_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-07_recording-right_emg.bdf	n/a	44.7335	unconstrained	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-4_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-08_recording-left_emg.bdf	n/a	44.7255	FastPongFronthandBackhandThrowing	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-4_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-09_recording-right_emg.bdf	n/a	43.821	FastPongFronthandBackhandThrowing	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-5_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-10_recording-left_emg.bdf	n/a	43.821	unconstrained	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-5_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-11_recording-right_emg.bdf	n/a	43.797	unconstrained	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-6_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-12_recording-left_emg.bdf	n/a	43.797	PokePinchCloseFar	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-6_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-13_recording-right_emg.bdf	n/a	43.7845	PokePinchCloseFar	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-7_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-14_recording-left_emg.bdf	n/a	43.7925	unconstrained	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-7_left.hdf5
emg/sub-29_ses-04_task-emg2pose_run-15_recording-right_emg.bdf	n/a	45.2485	unconstrained	right	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-8_right.hdf5
emg/sub-29_ses-04_task-emg2pose_run-16_recording-left_emg.bdf	n/a	45.2405	GraspPunchCloseFar	left	2022-10-31-1667203200-cea15-cv-emg-pose-demonstration@2-recording-8_left.hdf5
