onset	duration	trial_type	side
0.0	48.389	unconstrained	left
0.0	5.8005	BAD_IK	left
5.8335	0.4835	BAD_IK	left
8.284	0.133	BAD_IK	left
10.784	0.3335	BAD_IK	left
11.1675	0.0165	BAD_IK	left
11.384	1.2835	BAD_IK	left
13.384	0.05	BAD_IK	left
13.7675	1.45	BAD_IK	left
15.2845	1.0165	BAD_IK	left
16.451	4.534	BAD_IK	left
21.768	0.4835	BAD_IK	left
22.335	0.2	BAD_IK	left
22.818	2.2335	BAD_IK	left
26.335	0.0335	BAD_IK	left
26.452	0.7165	BAD_IK	left
27.602	0.2835	BAD_IK	left
28.0685	0.6	BAD_IK	left
29.8855	1.2335	BAD_IK	left
32.8025	0.4305	BAD_IK	left
35.9945	0.4165	BAD_IK	left
39.5985	0.2165	BAD_IK	left
39.882	0.05	BAD_IK	left
44.015	0.0835	BAD_IK	left
47.582	0.0165	BAD_IK	left
47.7985	0.45	BAD_IK	left
