onset	duration	trial_type	side
0.0	59.513	ThumbsSwipesWholeHand	right
0.0	0.5835	BAD_IK	right
0.9165	3.217	BAD_IK	right
10.1505	5.184	BAD_IK	right
28.502	4.0335	BAD_IK	right
33.5325	0.117	BAD_IK	right
34.1995	0.1165	BAD_IK	right
34.8495	0.0665	BAD_IK	right
35.6495	0.2005	BAD_IK	right
35.983	1.25	BAD_IK	right
37.45	0.3165	BAD_IK	right
38.05	0.9	BAD_IK	right
39.05	0.0665	BAD_IK	right
39.633	0.2	BAD_IK	right
40.2	0.133	BAD_IK	right
40.7665	0.3335	BAD_IK	right
41.3665	0.4	BAD_IK	right
42.05	0.3165	BAD_IK	right
42.4	0.0845	BAD_IK	right
42.7345	1.7665	BAD_IK	right
44.568	0.033	BAD_IK	right
44.801	0.15	BAD_IK	right
45.168	0.3	BAD_IK	right
45.851	0.1835	BAD_IK	right
47.6345	0.1835	BAD_IK	right
49.5	0.0165	BAD_IK	right
50.2	0.1	BAD_IK	right
50.883	0.3	BAD_IK	right
51.2665	0.2165	BAD_IK	right
51.85	0.0665	BAD_IK	right
51.9665	0.0665	BAD_IK	right
56.333	0.1835	BAD_IK	right
58.0165	0.2	BAD_IK	right
58.6	0.15	BAD_IK	right
59.183	0.05	BAD_IK	right
